human_ensembl_gene_id,human_accession,hgnc_symbol,mouse_ensembl_gene_id,external_gene_name,mouse_accession
ENSG00000104313,Q99502,EYA1,ENSMUSG00000025932,Eya1,P97767
ENSG00000104343,Q96B02,UBE2W,ENSMUSG00000025939,Ube2w,Q8VDW4
ENSG00000175866,Q9UQB8,BAIAP2,ENSMUSG00000025372,Baiap2,Q8BKX1
ENSG00000176108,Q96FZ7,CHMP6,ENSMUSG00000025371,Chmp6,P0C0A3
ENSG00000176973,Q8N5H3,FAM89B,ENSMUSG00000024939,Fam89b,Q9QUI1
ENSG00000179222,Q9Y5V3,MAGED1,ENSMUSG00000025151,Maged1,Q9QYH6
ENSG00000179912,Q9Y2K5,R3HDM2,ENSMUSG00000025404,R3hdm2,Q80TM6
ENSG00000180828,Q8NFJ8,BHLHE22,ENSMUSG00000025128,Bhlhe22,A0A0R4J056
ENSG00000181396,Q6PK18,OGFOD3,ENSMUSG00000025169,Ogfod3,Q9D136
ENSG00000181409,Q6ZMQ8,AATK,ENSMUSG00000025375,Aatk,"['B1AZF3', 'A0A668KLB8', 'A0A668KLA4', 'B1AZF9']"
ENSG00000181852,Q9H4P4,RNF41,ENSMUSG00000025373,Rnf41,Q8BH75
ENSG00000182199,P34897,SHMT2,ENSMUSG00000025403,Shmt2,Q9CZN7
ENSG00000182208,Q70IA6,MOB2,ENSMUSG00000025147,Mob2,Q8VI63
ENSG00000182676,Q86WC6,PPP1R27,ENSMUSG00000025129,Ppp1r27,Q9D119
ENSG00000183010,P32322,PYCR1,ENSMUSG00000025140,Pycr1,Q922W5
ENSG00000183690,Q5JST6,EFHC2,ENSMUSG00000025038,Efhc2,Q9D485
ENSG00000184083,Q9NX05,FAM120C,ENSMUSG00000025262,Fam120c,Q8C3F2
ENSG00000185105,A6NDP7,MYADML2,ENSMUSG00000025141,Myadml2,Q08AU7
ENSG00000185504,Q0VG06,FAAP100,ENSMUSG00000025384,Faap100,A2ACJ2
ENSG00000185527,P18545,PDE6G,ENSMUSG00000025386,Pde6g,P09174
ENSG00000185624,P07237,P4HB,ENSMUSG00000025130,P4hb,P09103
ENSG00000185664,P40967,PMEL,ENSMUSG00000025359,Pmel,Q60696
ENSG00000185813,Q99447,PCYT2,ENSMUSG00000025137,Pcyt2,Q922E4
ENSG00000187122,O75093,SLIT1,ENSMUSG00000025020,Slit1,Q80TR4
ENSG00000187531,Q9NRC8,SIRT7,ENSMUSG00000025138,Sirt7,Q8BKJ9
ENSG00000188611,Q9NR71,ASAH2,ENSMUSG00000024887,Asah2,Q9JHE3
ENSG00000204147,P0C7U1,ASAH2B,ENSMUSG00000024887,Asah2,Q9JHE3
ENSG00000189221,P21397,MAOA,ENSMUSG00000025037,Maoa,Q64133
ENSG00000196233,Q96JN0,LCOR,ENSMUSG00000025019,Lcor,Q6ZPI3
ENSG00000196865,Q8NBF2,NHLRC2,ENSMUSG00000025078,Nhlrc2,Q8BZW8
ENSG00000197142,Q9ULC5,ACSL5,ENSMUSG00000024981,Acsl5,Q8JZR0
ENSG00000197728,P62854,RPS26,ENSMUSG00000025362,Rps26,P62855
ENSG00000198018,Q9NQZ7,ENTPD7,ENSMUSG00000025192,Entpd7,Q3TCT4
ENSG00000198056,P49642,PRIM1,ENSMUSG00000025395,Prim1,P20664
ENSG00000198408,O60502,OGA,ENSMUSG00000025220,Oga,Q9EQQ9
ENSG00000198546,Q8NB15,ZNF511,ENSMUSG00000025470,Zfp511,Q6P0X2
ENSG00000198682,O95340,PAPSS2,ENSMUSG00000024899,Papss2,O88428
ENSG00000198728,Q86U70,LDB1,ENSMUSG00000025223,Ldb1,P70662
ENSG00000198814,P32189,GK,ENSMUSG00000025059,Gk,Q64516
ENSG00000229894,Q14409,GK3,ENSMUSG00000025059,Gk,Q64516
ENSG00000198887,Q8IY18,SMC5,ENSMUSG00000024943,Smc5,Q8CG46
ENSG00000198924,Q6PJP8,DCLRE1A,ENSMUSG00000025077,Dclre1a,"['S4R1N2', 'S4R284']"
ENSG00000206190,O60312,ATP10A,ENSMUSG00000025324,Atp10a,O54827
ENSG00000211456,Q9NTJ5,SACM1L,ENSMUSG00000025240,Sacm1l,Q9EP69
ENSG00000213341,O15111,CHUK,ENSMUSG00000025199,Chuk,"['E9QNL4', 'E9Q605']"
ENSG00000213390,Q14CB8,ARHGAP19,ENSMUSG00000025154,Arhgap19,Q8BRH3
ENSG00000213465,P36404,ARL2,ENSMUSG00000024944,Arl2,Q9D0J4
ENSG00000213614,P06865,HEXA,ENSMUSG00000025232,Hexa,P29416
ENSG00000214279,Q4G0T1,SCART1,ENSMUSG00000025461,Scart1,"['A0A1B0GSB0', 'Q8CGY7']"
ENSG00000215644,P47871,GCGR,ENSMUSG00000025127,Gcgr,Q61606
ENSG00000241935,Q86XE5,HOGA1,ENSMUSG00000025176,Hoga1,Q9DCU9
ENSG00000243725,O95801,TTC4,ENSMUSG00000025413,Ttc4,Q8R3H9
ENSG00000257727,Q9Y2B0,CNPY2,ENSMUSG00000025381,Cnpy2,Q9QXT0
ENSG00000114648,O94889,KLHL18,ENSMUSG00000054792,Klhl18,E9Q4F2
ENSG00000115145,O75886,STAM2,ENSMUSG00000055371,Stam2,O88811
ENSG00000115459,Q96FG2,ELMOD3,ENSMUSG00000056698,Elmod3,Q91YP6
ENSG00000115464,Q70CQ2,USP34,ENSMUSG00000056342,Usp34,Q6ZQ93
ENSG00000115525,Q9UNP4,ST3GAL5,ENSMUSG00000056091,St3gal5,O88829
ENSG00000115593,Q8NB12,SMYD1,ENSMUSG00000055027,Smyd1,P97443
ENSG00000116663,Q9NRD1,FBXO6,ENSMUSG00000055401,Fbxo6,Q9QZN4
ENSG00000116711,P47712,PLA2G4A,ENSMUSG00000056220,Pla2g4a,P47713
ENSG00000116754,Q05519,SRSF11,ENSMUSG00000055436,Srsf11,"['Q3UIX4', 'E9Q6E5', 'A0A0G2JEG1', 'F6X2U6', 'D6RE22', 'F6TN80', 'D3Z4B0', 'F6RDI8']"
ENSG00000116981,Q9BXI3,NT5C1A,ENSMUSG00000054958,Nt5c1a,A3KFX0
ENSG00000118276,Q9UBX8,B4GALT6,ENSMUSG00000056124,B4galt6,Q9WVK5
ENSG00000120068,P17481,HOXB8,ENSMUSG00000056648,Hoxb8,P09632
ENSG00000121931,Q5T3J3,LRIF1,ENSMUSG00000056260,Lrif1,Q8CDD9
ENSG00000122483,Q5T9S5,CCDC18,ENSMUSG00000056531,Ccdc18,Q640L5
ENSG00000125375,Q99766,DMAC2L,ENSMUSG00000054894,Dmac2l,Q9CRA7
ENSG00000127528,Q9Y5W3,KLF2,ENSMUSG00000055148,Klf2,Q60843
ENSG00000128656,P15882,CHN1,ENSMUSG00000056486,Chn1,Q91V57
ENSG00000130193,Q8WUY1,THEM6,ENSMUSG00000056665,Them6,Q80ZW2
ENSG00000130402,O43707,ACTN4,ENSMUSG00000054808,Actn4,P57780
ENSG00000130517,Q9NXJ5,PGPEP1,ENSMUSG00000056204,Pgpep1,Q9ESW8
ENSG00000130561,P10523,SAG,ENSMUSG00000056055,Sag,P20443
ENSG00000130684,Q9Y3M9,ZNF337,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000132010,P17024,ZNF20,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000147121,Q5JUW0,KRBOX4,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000164256,Q9NQV7,PRDM9,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000171291,Q8NDP4,ZNF439,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000171295,Q8IYI8,ZNF440,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000172000,Q9HAH1,ZNF556,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000172006,Q86TJ5,ZNF554,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000177599,Q8N8L2,ZNF491,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000186230,O43361,ZNF749,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000186300,Q8NEP9,ZNF555,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000188295,Q96BR6,ZNF669,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000196418,Q15973,ZNF124,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000196946,Q6ZN79,ZNF705A,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000197054,Q0D2J5,ZNF763,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000198028,Q96MR9,ZNF560,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000198429,Q9UC07,ZNF69,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000214029,A8MT65,ZNF891,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000215343,P0CH99,ZNF705D,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000215356,P0CI00,ZNF705B,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000215372,A8MUZ8,ZNF705G,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000251192,Q2M3X9,ZNF674,ENSMUSG00000055150,Zfp78,"['A0A140LHZ4', 'Q5U406', 'Q8BJ21']"
ENSG00000131263,Q9NVW2,RLIM,ENSMUSG00000056537,Rlim,Q9WTV7
ENSG00000131943,Q9NSK7,C19orf12,ENSMUSG00000054676,1600014C10Rik,Q8WUR0
ENSG00000132326,O15055,PER2,ENSMUSG00000055866,Per2,A0A0R4J0U3
ENSG00000132466,O75179,ANKRD17,ENSMUSG00000055204,Ankrd17,Q99NH0
ENSG00000133020,P13535,MYH8,ENSMUSG00000055775,Myh8,P13542
ENSG00000133710,Q9NQ38,SPINK5,ENSMUSG00000055561,Spink5,Q148R4
ENSG00000133794,O00327,BMAL1,ENSMUSG00000055116,Arntl,Q9WTL8
ENSG00000133818,P62070,RRAS2,ENSMUSG00000055723,Rras2,P62071
ENSG00000134153,Q9NPA0,EMC7,ENSMUSG00000055943,Emc7,Q9EP72
ENSG00000134757,P32926,DSG3,ENSMUSG00000056632,Dsg3,"['A0A3Q4EGP6', 'Q3UFC6']"
ENSG00000134905,Q9HA77,CARS2,ENSMUSG00000056228,Cars2,"['G3X975', 'A0A1B0GSP2', 'A0A1B0GR87', 'A0A1B0GRF1', 'A0A1B0GSW7']"
ENSG00000135643,Q86W47,KCNMB4,ENSMUSG00000054934,Kcnmb4,Q9JIN6
ENSG00000137338,Q96JS3,PGBD1,ENSMUSG00000055313,Pgbd1,"['E9Q2C6', 'E9Q492']"
ENSG00000137845,O14672,ADAM10,ENSMUSG00000054693,Adam10,O35598
ENSG00000138629,Q96S82,UBL7,ENSMUSG00000055720,Ubl7,Q91W67
ENSG00000138722,Q13201,MMRN1,ENSMUSG00000054641,Mmrn1,"['A0A0N4SVL8', 'G3UVV6']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000040134,Rdh7,O88451
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000054052,Rdh19,G5E8H9
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000056148,Rdh9,"['Q8K5C8', 'Q6PHA1']"
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000069456,Rdh16,O54909
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139547,O75452,RDH16,ENSMUSG00000074639,Rdh16f2,Q8K3M1
ENSG00000139737,Q8ND83,SLAIN1,ENSMUSG00000055717,Slain1,Q68FF7
ENSG00000140718,Q9C0B1,FTO,ENSMUSG00000055932,Fto,Q8BGW1
ENSG00000141905,P08651,NFIC,ENSMUSG00000055053,Nfic,P70255
ENSG00000143546,P05109,S100A8,ENSMUSG00000056054,S100a8,P27005
ENSG00000144354,Q9BWT1,CDCA7,ENSMUSG00000055612,Cdca7,Q9D0M2
ENSG00000144406,Q8N2C7,UNC80,ENSMUSG00000055567,Unc80,Q8BLN6
ENSG00000144460,Q9P242,NYAP2,ENSMUSG00000054976,Nyap2,"['A0A0R4J1X0', 'A0A0R4J1I8', 'A0A0R4J0T9', 'D3Z3N9']"
ENSG00000144891,P30556,AGTR1,ENSMUSG00000049115,Agtr1a,P29754
ENSG00000144891,P30556,AGTR1,ENSMUSG00000049115,Agtr1a,P29754
ENSG00000144891,P30556,AGTR1,ENSMUSG00000054988,Agtr1b,P29755
ENSG00000144891,P30556,AGTR1,ENSMUSG00000054988,Agtr1b,P29755
ENSG00000144893,Q86YW9,MED12L,ENSMUSG00000056476,Med12l,Q8BQM9
ENSG00000145569,Q9NUU6,OTULINL,ENSMUSG00000056069,Otulinl,Q3TVP5
ENSG00000145850,Q96H15,TIMD4,ENSMUSG00000055546,Timd4,Q6U7R4
ENSG00000146281,Q8IYS1,PM20D2,ENSMUSG00000054659,Pm20d2,A3KG59
ENSG00000147118,P17025,ZNF182,ENSMUSG00000054737,Zfp182,"['A2AE19', 'A2AE18']"
ENSG00000147257,P51654,GPC3,ENSMUSG00000055653,Gpc3,Q8CFZ4
ENSG00000147548,Q9BZ95,NSD3,ENSMUSG00000054823,Nsd3,Q6P2L6
ENSG00000148053,Q16620,NTRK2,ENSMUSG00000055254,Ntrk2,P15209
ENSG00000148357,Q8NDA2,HMCN2,ENSMUSG00000055632,Hmcn2,A2AJ76
ENSG00000148840,Q5VV67,PPRC1,ENSMUSG00000055491,Pprc1,Q6NZN1
ENSG00000149639,O94964,SOGA1,ENSMUSG00000055485,Soga1,A2ACV6
ENSG00000150656,Q96KN2,CNDP1,ENSMUSG00000056162,Cndp1,"['A0A0R4J0V0', 'A0A494B9E5']"
ENSG00000152056,Q96PC3,AP1S3,ENSMUSG00000054702,Ap1s3,Q7TN05
ENSG00000152147,Q8WXD5,GEMIN6,ENSMUSG00000055760,Gemin6,Q9CX53
ENSG00000152284,Q9HCS4,TCF7L1,ENSMUSG00000055799,Tcf7l1,"['A1A550', 'A1A549', 'F6VNH1']"
ENSG00000152291,O43493,TGOLN2,ENSMUSG00000056429,Tgoln1,Q62313
ENSG00000152377,Q08629,SPOCK1,ENSMUSG00000056222,Spock1,"['Q6DIC9', 'Q8BKQ3', 'A0A286YCI6', 'A0A087WPP6', 'Q8BM07']"
ENSG00000152661,P17302,GJA1,ENSMUSG00000055691,Gja6,Q6S5G4
ENSG00000153879,P53567,CEBPG,ENSMUSG00000056216,Cebpg,P53568
ENSG00000154305,Q5JRA6,MIA3,ENSMUSG00000056050,Mia3,"['A0A0R4J2D3', 'A0A0A6YX61']"
ENSG00000154548,Q8WXF0,SRSF12,ENSMUSG00000054679,Srsf12,Q8C8K3
ENSG00000155093,Q92932,PTPRN2,ENSMUSG00000056553,Ptprn2,P80560
ENSG00000155530,Q96M69,LRGUK,ENSMUSG00000056215,Lrguk,Q9D5S7
ENSG00000155729,Q6PI47,KCTD18,ENSMUSG00000054770,Kctd18,"['E0CXJ5', 'E9PYP3', 'E9Q945', 'E0CZ26']"
ENSG00000157426,Q4L235,AASDH,ENSMUSG00000055923,Aasdh,Q80WC9
ENSG00000157985,Q9UPQ3,AGAP1,ENSMUSG00000055013,Agap1,Q8BXK8
ENSG00000158887,P25189,MPZ,ENSMUSG00000056569,Mpz,"['A0A5F8MPM4', 'E9QK82']"
ENSG00000159596,Q5SWH9,TMEM69,ENSMUSG00000055900,Tmem69,Q3KQJ0
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000030486,Zfp108,"['E9Q8I5', 'Q8CCP6']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000030486,Zfp108,"['E9Q8I5', 'Q8CCP6']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000030486,Zfp108,"['E9Q8I5', 'Q8CCP6']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000030486,Zfp108,"['E9Q8I5', 'Q8CCP6']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000030486,Zfp108,"['E9Q8I5', 'Q8CCP6']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000047603,Zfp235,"['A0A0U1RPI4', 'Q499D5']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000047603,Zfp235,"['A0A0U1RPI4', 'Q499D5']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000047603,Zfp235,"['A0A0U1RPI4', 'Q499D5']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000047603,Zfp235,"['A0A0U1RPI4', 'Q499D5']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000047603,Zfp235,"['A0A0U1RPI4', 'Q499D5']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000055305,Zfp93,Q61116
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000055305,Zfp93,Q61116
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000055305,Zfp93,Q61116
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000055305,Zfp93,Q61116
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000055305,Zfp93,Q61116
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000068962,Zfp114,"['A0A0U1RPG2', 'B2RRA8', 'Q3UTF4']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000068962,Zfp114,"['A0A0U1RPG2', 'B2RRA8', 'Q3UTF4']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000068962,Zfp114,"['A0A0U1RPG2', 'B2RRA8', 'Q3UTF4']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000068962,Zfp114,"['A0A0U1RPG2', 'B2RRA8', 'Q3UTF4']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000068962,Zfp114,"['A0A0U1RPG2', 'B2RRA8', 'Q3UTF4']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000074283,Zfp109,"['A0A0U1RPC5', 'Q9R166']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000074283,Zfp109,"['A0A0U1RPC5', 'Q9R166']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000074283,Zfp109,"['A0A0U1RPC5', 'Q9R166']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000074283,Zfp109,"['A0A0U1RPC5', 'Q9R166']"
ENSG00000159915,A6NK53,ZNF233,ENSMUSG00000074283,Zfp109,"['A0A0U1RPC5', 'Q9R166']"
ENSG00000160796,Q6ZNJ1,NBEAL2,ENSMUSG00000056724,Nbeal2,Q6ZQA0
ENSG00000162783,Q5VY09,IER5,ENSMUSG00000056708,Ier5,O89113
ENSG00000163220,P06702,S100A9,ENSMUSG00000056071,S100a9,P31725
ENSG00000163291,Q6TCH7,PAQR3,ENSMUSG00000055725,Paqr3,Q6TCG8
