hgnc_symbol,human_ensembl_gene_id,mouse_ensembl_gene_id,external_gene_name
CLCN4,ENSG00000073464,ENSMUSG00000000605,Clcn4
TBX21,ENSG00000073861,ENSMUSG00000001444,Tbx21
VPS9D1,ENSG00000075399,ENSMUSG00000001062,Vps9d1
MKRN2,ENSG00000075975,ENSMUSG00000000439,Mkrn2
CTTNBP2,ENSG00000077063,ENSMUSG00000000416,Cttnbp2
ARAF,ENSG00000078061,ENSMUSG00000001127,Araf
FAP,ENSG00000078098,ENSMUSG00000000392,Fap
TULP3,ENSG00000078246,ENSMUSG00000001521,Tulp3
MID2,ENSG00000080561,ENSMUSG00000000266,Mid2
TCF7,ENSG00000081059,ENSMUSG00000000782,Tcf7
DLG3,ENSG00000082458,ENSMUSG00000000881,Dlg3
AKR1B1,ENSG00000085662,ENSMUSG00000001642,Akr1b3
FOLH1,ENSG00000086205,ENSMUSG00000001773,Folh1
GMCL1,ENSG00000087338,ENSMUSG00000001157,Gmcl1
GMCL2,ENSG00000244234,ENSMUSG00000001157,Gmcl1
DDX18,ENSG00000088205,ENSMUSG00000001674,Ddx18
REM1,ENSG00000088320,ENSMUSG00000000359,Rem1
OAS1,ENSG00000089127,ENSMUSG00000001166,Oas1c
GRAMD1A,ENSG00000089351,ENSMUSG00000001248,Gramd1a
SLC26A3,ENSG00000091138,ENSMUSG00000001225,Slc26a3
APOH,ENSG00000091583,ENSMUSG00000000049,Apoh
CDC45,ENSG00000093009,ENSMUSG00000000028,Cdc45
COMT,ENSG00000093010,ENSMUSG00000000326,Comt
IL12RB1,ENSG00000096996,ENSMUSG00000000791,Il12rb1
MMP11,ENSG00000099953,ENSMUSG00000000901,Mmp11
SMARCB1,ENSG00000099956,ENSMUSG00000000902,Smarcb1
DDTL,ENSG00000099974,ENSMUSG00000001666,Ddt
DDT,ENSG00000099977,ENSMUSG00000001666,Ddt
RTCB,ENSG00000100220,ENSMUSG00000001783,Rtcb
FBXO7,ENSG00000100225,ENSMUSG00000001786,Fbxo7
PDGFB,ENSG00000100311,ENSMUSG00000000489,Pdgfb
TPD52L2,ENSG00000101150,ENSMUSG00000000827,Tpd52l2
DNAJC5,ENSG00000101152,ENSMUSG00000000826,Dnajc5
CRNKL1,ENSG00000101343,ENSMUSG00000001767,Crnkl1
PXMP4,ENSG00000101417,ENSMUSG00000000876,Pxmp4
MCTS2,ENSG00000101898,ENSMUSG00000000355,Mcts1
FMR1,ENSG00000102081,ENSMUSG00000000838,Fmr1
SCML2,ENSG00000102098,ENSMUSG00000000037,Scml2
TIMP1,ENSG00000102265,ENSMUSG00000001131,Timp1
DRP2,ENSG00000102385,ENSMUSG00000000223,Drp2
NALCN,ENSG00000102452,ENSMUSG00000000197,Nalcn
ACP5,ENSG00000102575,ENSMUSG00000001348,Acp5
TRMT1,ENSG00000104907,ENSMUSG00000001909,Trmt1
SLC1A5,ENSG00000105281,ENSMUSG00000001918,Slc1a5
ICAM4,ENSG00000105371,ENSMUSG00000001014,Icam4
LSR,ENSG00000105699,ENSMUSG00000001247,Lsr
HPN,ENSG00000105707,ENSMUSG00000001249,Hpn
CAV2,ENSG00000105971,ENSMUSG00000000058,Cav2
BRAT1,ENSG00000106009,ENSMUSG00000000148,Brat1
CLDN15,ENSG00000106404,ENSMUSG00000001739,Cldn15
LHX2,ENSG00000106689,ENSMUSG00000000247,Lhx2
KPNB1,ENSG00000108424,ENSMUSG00000001440,Kpnb1
HOXB6,ENSG00000108511,ENSMUSG00000000690,Hoxb6
ICAM2,ENSG00000108622,ENSMUSG00000001029,Icam2
B9D1,ENSG00000108641,ENSMUSG00000001039,B9d1
NAGLU,ENSG00000108784,ENSMUSG00000001751,Naglu
COL1A1,ENSG00000108821,ENSMUSG00000001506,Col1a1
SGCA,ENSG00000108823,ENSMUSG00000001508,Sgca
RND2,ENSG00000108830,ENSMUSG00000001313,Rnd2
ALOX12,ENSG00000108839,ENSMUSG00000000320,Alox12
IFT20,ENSG00000109083,ENSMUSG00000001105,Ift20
MFSD10,ENSG00000109736,ENSMUSG00000001082,Mfsd10
SIAE,ENSG00000110013,ENSMUSG00000001942,Siae
CHORDC1,ENSG00000110172,ENSMUSG00000001774,Chordc1
FOLR1,ENSG00000110195,ENSMUSG00000001827,Folr1
SLC22A18,ENSG00000110628,ENSMUSG00000000154,Slc22a18
TCIRG1,ENSG00000110719,ENSMUSG00000001750,Tcirg1
VWF,ENSG00000110799,ENSMUSG00000001930,Vwf
KCTD10,ENSG00000110906,ENSMUSG00000001098,Kctd10
MYF5,ENSG00000111049,ENSMUSG00000000435,Myf5
ITFG2,ENSG00000111203,ENSMUSG00000001518,Itfg2
FOXM1,ENSG00000111206,ENSMUSG00000001517,Foxm1
FGF6,ENSG00000111241,ENSMUSG00000000183,Fgf6
RAB5B,ENSG00000111540,ENSMUSG00000000711,Rab5b
HDDC2,ENSG00000111906,ENSMUSG00000000295,Hddc2
TPD52L1,ENSG00000111907,ENSMUSG00000000296,Tpd52l1
FBXO9,ENSG00000112146,ENSMUSG00000001366,Fbxo9
IL4,ENSG00000113520,ENSMUSG00000000869,Il4
ERGIC1,ENSG00000113719,ENSMUSG00000001576,Ergic1
KAT2B,ENSG00000114166,ENSMUSG00000000708,Kat2b
LMAN2L,ENSG00000114988,ENSMUSG00000001143,Lman2l
LOXL3,ENSG00000115318,ENSMUSG00000000693,Loxl3
WDR77,ENSG00000116455,ENSMUSG00000000561,Wdr77
ATP5PB,ENSG00000116459,ENSMUSG00000000563,Atp5pb
MEF2D,ENSG00000116604,ENSMUSG00000001419,Mef2d
FASLG,ENSG00000117560,ENSMUSG00000000817,Fasl
CCND2,ENSG00000118971,ENSMUSG00000000184,Ccnd2
ELL2,ENSG00000118985,ENSMUSG00000001542,Ell2
BCL11A,ENSG00000119866,ENSMUSG00000000861,Bcl11a
TRIM25,ENSG00000121060,ENSMUSG00000000275,Trim25
SCPEP1,ENSG00000121064,ENSMUSG00000000278,Scpep1
TBX2,ENSG00000121068,ENSMUSG00000000093,Tbx2
TBX4,ENSG00000121075,ENSMUSG00000000094,Tbx4
UBL3,ENSG00000122042,ENSMUSG00000001687,Ubl3
OCRL,ENSG00000122126,ENSMUSG00000001173,Ocrl
SEPTIN7,ENSG00000122545,ENSMUSG00000001833,Septin7
PFDN5,ENSG00000123349,ENSMUSG00000001289,Pfdn5
DBH,ENSG00000123454,ENSMUSG00000000889,Dbh
EEF1E1,ENSG00000124802,ENSMUSG00000001707,Eef1e1
EFNB2,ENSG00000125266,ENSMUSG00000001300,Efnb2
SOX9,ENSG00000125398,ENSMUSG00000000567,Sox9
TUBGCP3,ENSG00000126216,ENSMUSG00000000759,Tubgcp3
CAPNS1,ENSG00000126247,ENSMUSG00000001794,Capns1
UXT,ENSG00000126756,ENSMUSG00000001134,Uxt
CFP,ENSG00000126759,ENSMUSG00000001128,Cfp
AIF1L,ENSG00000126878,ENSMUSG00000001864,Aif1l
NUP214,ENSG00000126883,ENSMUSG00000001855,Nup214
VPREB3,ENSG00000128218,ENSMUSG00000000903,Vpreb3
SMO,ENSG00000128602,ENSMUSG00000001761,Smo
USP6,ENSG00000129204,ENSMUSG00000000804,Usp32
USP32,ENSG00000170832,ENSMUSG00000000804,Usp32
CNN1,ENSG00000130176,ENSMUSG00000001349,Cnn1
NSUN5,ENSG00000130305,ENSMUSG00000000916,Nsun5
HIP1R,ENSG00000130787,ENSMUSG00000000915,Hip1r
LRP3,ENSG00000130881,ENSMUSG00000001802,Lrp3
UBA1,ENSG00000130985,ENSMUSG00000001924,Uba1
CHMP1A,ENSG00000131165,ENSMUSG00000000743,Chmp1a
RAMP2,ENSG00000131477,ENSMUSG00000001240,Ramp2
RAF1,ENSG00000132155,ENSMUSG00000000441,Raf1
PPARG,ENSG00000132170,ENSMUSG00000000440,Pparg
RPA1,ENSG00000132383,ENSMUSG00000000751,Rpa1
SERPINF1,ENSG00000132386,ENSMUSG00000000753,Serpinf1
CLEC10A,ENSG00000132514,ENSMUSG00000000318,Clec10a
RIN2,ENSG00000132669,ENSMUSG00000001768,Rin2
RNF17,ENSG00000132972,ENSMUSG00000000365,Rnf17
PEMT,ENSG00000133027,ENSMUSG00000000301,Pemt
ACVR1B,ENSG00000135503,ENSMUSG00000000532,Acvr1b
SEMA4F,ENSG00000135622,ENSMUSG00000000627,Sema4f
PWP1,ENSG00000136045,ENSMUSG00000001785,Pwp1
RAC1,ENSG00000136238,ENSMUSG00000001847,Rac1
ZDHHC4,ENSG00000136247,ENSMUSG00000001844,Zdhhc4
TBRG4,ENSG00000136270,ENSMUSG00000000384,Tbrg4
CCM2,ENSG00000136280,ENSMUSG00000000378,Ccm2
GMPR,ENSG00000137198,ENSMUSG00000000253,Gmpr
DBT,ENSG00000137992,ENSMUSG00000000340,Dbt
RTCA,ENSG00000137996,ENSMUSG00000000339,Rtca
HNRNPD,ENSG00000138668,ENSMUSG00000000568,Hnrnpd
SEC24B,ENSG00000138802,ENSMUSG00000001052,Sec24b
NDUFA9,ENSG00000139180,ENSMUSG00000000399,Ndufa9
ACVRL1,ENSG00000139567,ENSMUSG00000000530,Acvrl1
ITGB7,ENSG00000139626,ENSMUSG00000001281,Itgb7
MYG1,ENSG00000139637,ENSMUSG00000001285,Myg1
MARVELD3,ENSG00000140832,ENSMUSG00000001672,Marveld3
DEF8,ENSG00000140995,ENSMUSG00000001482,Def8
TCF25,ENSG00000141002,ENSMUSG00000001472,Tcf25
NPEPPS,ENSG00000141279,ENSMUSG00000001441,Npepps
GALNT1,ENSG00000141429,ENSMUSG00000000420,Galnt1
NARF,ENSG00000141562,ENSMUSG00000000056,Narf
FKBP10,ENSG00000141756,ENSMUSG00000001555,Fkbp10
DPP9,ENSG00000142002,ENSMUSG00000001229,Dpp9
COL6A1,ENSG00000142156,ENSMUSG00000001119,Col6a1
DNMT3L,ENSG00000142182,ENSMUSG00000000730,Dnmt3l
AKT1,ENSG00000142208,ENSMUSG00000001729,Akt1
SNAPIN,ENSG00000143553,ENSMUSG00000001018,Snapin
KCNN3,ENSG00000143603,ENSMUSG00000000794,Kcnn3
ILF2,ENSG00000143621,ENSMUSG00000001016,Ilf2
WNT9A,ENSG00000143816,ENSMUSG00000000126,Wnt9a
N4BP3,ENSG00000145911,ENSMUSG00000001053,N4bp3
NHP2,ENSG00000145912,ENSMUSG00000001056,Nhp2
RMND5B,ENSG00000145916,ENSMUSG00000001054,Rmnd5b
ZMAT2,ENSG00000146007,ENSMUSG00000001383,Zmat2
DYNLT1,ENSG00000146425,ENSMUSG00000000579,Dynlt1c
GNA12,ENSG00000146535,ENSMUSG00000000149,Gna12
NOM1,ENSG00000146909,ENSMUSG00000001569,Nom1
GPR107,ENSG00000148358,ENSMUSG00000000194,Gpr107
DLAT,ENSG00000150768,ENSMUSG00000000168,Dlat
PIH1D2,ENSG00000150773,ENSMUSG00000000167,Pih1d2
FER,ENSG00000151422,ENSMUSG00000000127,Fer
DGKE,ENSG00000153933,ENSMUSG00000000276,Dgke
GRAMD2B,ENSG00000155324,ENSMUSG00000001700,Gramd3
OXA1L,ENSG00000155463,ENSMUSG00000000959,Oxa1l
SLC7A7,ENSG00000155465,ENSMUSG00000000958,Slc7a7
BRPF1,ENSG00000156983,ENSMUSG00000001632,Brpf1
MMP14,ENSG00000157227,ENSMUSG00000000957,Mmp14
MX1,ENSG00000157601,ENSMUSG00000000386,Mx1
TSPAN33,ENSG00000158457,ENSMUSG00000001763,Tspan33
ZNF276,ENSG00000158805,ENSMUSG00000001065,Zfp276
MRPL10,ENSG00000159111,ENSMUSG00000001445,Mrpl10
HK2,ENSG00000159399,ENSMUSG00000000628,Hk2
FNDC5,ENSG00000160097,ENSMUSG00000001334,Fndc5
AGPAT3,ENSG00000160216,ENSMUSG00000001211,Agpat3
TRAPPC10,ENSG00000160218,ENSMUSG00000000374,Trappc10
ICOSLG,ENSG00000160223,ENSMUSG00000000732,Icosl
ITGB2,ENSG00000160255,ENSMUSG00000000290,Itgb2
FTCD,ENSG00000160282,ENSMUSG00000001155,Ftcd
MCM3AP,ENSG00000160294,ENSMUSG00000001150,Mcm3ap
PCNT,ENSG00000160299,ENSMUSG00000001151,Pcnt
CHTOP,ENSG00000160679,ENSMUSG00000001017,Chtop
NACC1,ENSG00000160877,ENSMUSG00000001910,Nacc1
KLHL10,ENSG00000161594,ENSMUSG00000001558,Klhl10
ITGA5,ENSG00000161638,ENSMUSG00000000555,Itga5
ZNF385A,ENSG00000161642,ENSMUSG00000000552,Zfp385a
TAMALIN,ENSG00000161835,ENSMUSG00000000531,Tamalin
BCL6B,ENSG00000161940,ENSMUSG00000000317,Bcl6b
CLPB,ENSG00000162129,ENSMUSG00000001829,Clpb
SYNC,ENSG00000162520,ENSMUSG00000001333,Sync
HAAO,ENSG00000162882,ENSMUSG00000000673,Haao
CCT3,ENSG00000163468,ENSMUSG00000001416,Cct3
TMEM79,ENSG00000163472,ENSMUSG00000001420,Tmem79
CPA3,ENSG00000163751,ENSMUSG00000001865,Cpa3
CKB,ENSG00000166165,ENSMUSG00000001270,Ckb
MAPK7,ENSG00000166484,ENSMUSG00000001034,Mapk7
CA4,ENSG00000167434,ENSMUSG00000000805,Car4
RPL13,ENSG00000167526,ENSMUSG00000000740,Rpl13
SEMA6B,ENSG00000167680,ENSMUSG00000001227,Sema6b
SRR,ENSG00000167720,ENSMUSG00000001323,Srr
POLR3D,ENSG00000168495,ENSMUSG00000000776,Polr3d
AXIN2,ENSG00000168646,ENSMUSG00000000142,Axin2
CNNM3,ENSG00000168763,ENSMUSG00000001138,Cnnm3
ABHD15,ENSG00000168792,ENSMUSG00000000686,Abhd15
XPO6,ENSG00000169180,ENSMUSG00000000131,Xpo6
CD52,ENSG00000169442,ENSMUSG00000000682,Cd52
LUZP1,ENSG00000169641,ENSMUSG00000001089,Luzp1
UGP2,ENSG00000169764,ENSMUSG00000001891,Ugp2
HARS1,ENSG00000170445,ENSMUSG00000001380,Hars
SLFN12,ENSG00000172123,ENSMUSG00000000204,Slfn4
SLFN12L,ENSG00000205045,ENSMUSG00000000204,Slfn4
IL16,ENSG00000172349,ENSMUSG00000001741,Il16
RARG,ENSG00000172819,ENSMUSG00000001288,Rarg
SLC19A1,ENSG00000173638,ENSMUSG00000001436,Slc19a1
JUP,ENSG00000173801,ENSMUSG00000001552,Jup
TNK1,ENSG00000174292,ENSMUSG00000001583,Tnk1
UBE2C,ENSG00000175063,ENSMUSG00000001403,Ube2c
TOM1L2,ENSG00000175662,ENSMUSG00000000538,Tom1l2
TUBB6,ENSG00000176014,ENSMUSG00000001473,Tubb6
COX5A,ENSG00000178741,ENSMUSG00000000088,Cox5a
CDH4,ENSG00000179242,ENSMUSG00000000305,Cdh4
SEPTIN1,ENSG00000180096,ENSMUSG00000000486,Septin1
TH,ENSG00000180176,ENSMUSG00000000214,Th
LCK,ENSG00000182866,ENSMUSG00000000409,Lck
COL18A1,ENSG00000182871,ENSMUSG00000001435,Col18a1
DAZAP2,ENSG00000183283,ENSMUSG00000000346,Dazap2
PCBP3,ENSG00000183570,ENSMUSG00000001120,Pcbp3
TMPRSS2,ENSG00000184012,ENSMUSG00000000385,Tmprss2
TOP1MT,ENSG00000184428,ENSMUSG00000000934,Top1mt
SP1,ENSG00000185591,ENSMUSG00000001280,Sp1
GNB1L,ENSG00000185838,ENSMUSG00000000884,Gnb1l
C1QL4,ENSG00000186897,ENSMUSG00000001076,C1ql4
S100A4,ENSG00000196154,ENSMUSG00000001020,S100a4
TUBB,ENSG00000196230,ENSMUSG00000001525,Tubb5
SULT1A1,ENSG00000196502,ENSMUSG00000000739,Sult5a1
SULT1A2,ENSG00000197165,ENSMUSG00000000739,Sult5a1
SULT1A4,ENSG00000213648,ENSMUSG00000000739,Sult5a1
SULT1A3,ENSG00000261052,ENSMUSG00000000739,Sult5a1
MYO18A,ENSG00000196535,ENSMUSG00000000631,Myo18a
ZNF512B,ENSG00000196700,ENSMUSG00000000823,Zfp512b
GM2A,ENSG00000196743,ENSMUSG00000000594,Gm2a
SND1,ENSG00000197157,ENSMUSG00000001424,Snd1
C1D,ENSG00000197223,ENSMUSG00000000581,C1d
HOXA4,ENSG00000197576,ENSMUSG00000000942,Hoxa4
HOXC6,ENSG00000197757,ENSMUSG00000001661,Hoxc6
TXNRD3,ENSG00000197763,ENSMUSG00000000811,Txnrd3
SPG7,ENSG00000197912,ENSMUSG00000000738,Spg7
S100A6,ENSG00000197956,ENSMUSG00000001025,S100a6
TAT,ENSG00000198650,ENSMUSG00000001670,Tat
CALM1,ENSG00000198668,ENSMUSG00000001175,Calm1
GLMP,ENSG00000198715,ENSMUSG00000001418,Glmp
EGFL6,ENSG00000198759,ENSMUSG00000000402,Egfl6
PAX9,ENSG00000198807,ENSMUSG00000001497,Pax9
SMG5,ENSG00000198952,ENSMUSG00000001415,Smg5
TCEA3,ENSG00000204219,ENSMUSG00000001604,Tcea3
SDHD,ENSG00000204370,ENSMUSG00000000171,Sdhd
STK38L,ENSG00000211455,ENSMUSG00000001630,Stk38l
GTF2H4,ENSG00000213780,ENSMUSG00000001524,Gtf2h4
DDX3X,ENSG00000215301,ENSMUSG00000000787,Ddx3x
CKMT1A,ENSG00000223572,ENSMUSG00000000308,Ckmt1
CKMT1B,ENSG00000237289,ENSMUSG00000000308,Ckmt1
SEBOX,ENSG00000274529,ENSMUSG00000001103,Sebox
CCL18,ENSG00000275385,ENSMUSG00000000982,Ccl3
CCL3L3,ENSG00000276085,ENSMUSG00000000982,Ccl3
CCL3L1,ENSG00000276085,ENSMUSG00000000982,Ccl3
CCL3,ENSG00000277632,ENSMUSG00000000982,Ccl3
UHRF1,ENSG00000276043,ENSMUSG00000001228,Uhrf1
ADORA3,ENSG00000282608,ENSMUSG00000000562,Adora3
PRKAR2B,ENSG00000005249,ENSMUSG00000002997,Prkar2b
PON1,ENSG00000005421,ENSMUSG00000002588,Pon1
CROT,ENSG00000005469,ENSMUSG00000003623,Crot
GGCT,ENSG00000006625,ENSMUSG00000002797,Ggct
DBF4,ENSG00000006634,ENSMUSG00000002297,Dbf4
PAF1,ENSG00000006712,ENSMUSG00000003437,Paf1
SCIN,ENSG00000006747,ENSMUSG00000002565,Scin
TRAPPC6A,ENSG00000007255,ENSMUSG00000002043,Trappc6a
TEAD3,ENSG00000007866,ENSMUSG00000002249,Tead3
MPND,ENSG00000008382,ENSMUSG00000003199,Mpnd
BAZ1B,ENSG00000009954,ENSMUSG00000002748,Baz1b
STARD3NL,ENSG00000010270,ENSMUSG00000003062,Stard3nl
AKAP8L,ENSG00000011243,ENSMUSG00000002625,Akap8l
PPP5C,ENSG00000011485,ENSMUSG00000003099,Ppp5c
ERCC1,ENSG00000012061,ENSMUSG00000003549,Ercc1
DEF6,ENSG00000023892,ENSMUSG00000002257,Def6
NR1H3,ENSG00000025434,ENSMUSG00000002108,Nr1h3
KPNA6,ENSG00000025800,ENSMUSG00000003731,Kpna6
RANBP3,ENSG00000031823,ENSMUSG00000002372,Ranbp3
PNKP,ENSG00000039650,ENSMUSG00000002963,Pnkp
LCP2,ENSG00000043462,ENSMUSG00000002699,Lcp2
CP,ENSG00000047457,ENSMUSG00000003617,Cp
CELF2,ENSG00000048740,ENSMUSG00000002107,Celf2
HOMER3,ENSG00000051128,ENSMUSG00000003573,Homer3
USE1,ENSG00000053501,ENSMUSG00000002395,Use1
CA11,ENSG00000063180,ENSMUSG00000003273,Car11
MED29,ENSG00000063322,ENSMUSG00000003444,Med29
SPA17,ENSG00000064199,ENSMUSG00000001948,Spa17
TMEM161A,ENSG00000064545,ENSMUSG00000002342,Tmem161a
NHERF2,ENSG00000065054,ENSMUSG00000002504,Nherf2
FOXJ2,ENSG00000065970,ENSMUSG00000003154,Foxj2
SPI1,ENSG00000066336,ENSMUSG00000002111,Spi1
IDH3G,ENSG00000067829,ENSMUSG00000002010,Idh3g
PDZD4,ENSG00000067840,ENSMUSG00000002006,Pdzd4
DGCR2,ENSG00000070413,ENSMUSG00000003166,Dgcr2
HLTF,ENSG00000071794,ENSMUSG00000002428,Hltf
FAM50A,ENSG00000071859,ENSMUSG00000001962,Fam50a
AP1M1,ENSG00000072958,ENSMUSG00000003033,Ap1m1
MCM2,ENSG00000073111,ENSMUSG00000002870,Mcm2
SRI,ENSG00000075142,ENSMUSG00000003161,Sri
SPAG5,ENSG00000076382,ENSMUSG00000002055,Spag5
MAP2K7,ENSG00000076984,ENSMUSG00000002948,Map2k7
FKBP7,ENSG00000079150,ENSMUSG00000002732,Fkbp7
LIPE,ENSG00000079435,ENSMUSG00000003123,Lipe
KEAP1,ENSG00000079999,ENSMUSG00000003308,Keap1
AP4E1,ENSG00000081014,ENSMUSG00000001998,Ap4e1
MAST2,ENSG00000086015,ENSMUSG00000003810,Mast2
EPDR1,ENSG00000086289,ENSMUSG00000002808,Epdr1
ITPKC,ENSG00000086544,ENSMUSG00000003752,Itpkc
BAX,ENSG00000087088,ENSMUSG00000003873,Bax
SULT2B1,ENSG00000088002,ENSMUSG00000003271,Sult2b1
NDUFB2,ENSG00000090266,ENSMUSG00000002416,Ndufb2
GLG1,ENSG00000090863,ENSMUSG00000003316,Glg1
LAMB1,ENSG00000091136,ENSMUSG00000002900,Lamb1
OCEL1,ENSG00000099330,ENSMUSG00000002396,Ocel1
EFNA2,ENSG00000099617,ENSMUSG00000003070,Efna2
ATP5F1D,ENSG00000099624,ENSMUSG00000003072,Atp5d
SF3A1,ENSG00000099995,ENSMUSG00000002129,Sf3a1
RNF215,ENSG00000099999,ENSMUSG00000003581,Rnf215
SEC14L2,ENSG00000100003,ENSMUSG00000003585,Sec14l2
PRODH,ENSG00000100033,ENSMUSG00000003526,Prodh
,ENSG00000277196,ENSMUSG00000003526,Prodh
ESS2,ENSG00000100056,ENSMUSG00000003527,Ess2
SLC25A1,ENSG00000100075,ENSMUSG00000003528,Slc25a1
REC8,ENSG00000100918,ENSMUSG00000002324,Rec8
TM9SF1,ENSG00000100926,ENSMUSG00000002320,Tm9sf1
GMPR2,ENSG00000100938,ENSMUSG00000002326,Gmpr2
PRPF6,ENSG00000101161,ENSMUSG00000002455,Prpf6
HCK,ENSG00000101336,ENSMUSG00000003283,Hck
EMD,ENSG00000102119,ENSMUSG00000001964,Emd
NFAT5,ENSG00000102908,ENSMUSG00000003847,Nfat5
TSC2,ENSG00000103197,ENSMUSG00000002496,Tsc2
LMF1,ENSG00000103227,ENSMUSG00000002279,Lmf1
CIAO3,ENSG00000103245,ENSMUSG00000002280,Ciao3
METRN,ENSG00000103260,ENSMUSG00000002274,Metrn
GYS1,ENSG00000104812,ENSMUSG00000003865,Gys1
CLPTM1,ENSG00000104853,ENSMUSG00000002981,Clptm1
RELB,ENSG00000104856,ENSMUSG00000002983,Relb
FCGRT,ENSG00000104870,ENSMUSG00000003420,Fcgrt
PIH1D1,ENSG00000104872,ENSMUSG00000003423,Pih1d1
MED25,ENSG00000104973,ENSMUSG00000002968,Med25
TIMM44,ENSG00000104980,ENSMUSG00000002949,Timm44
VRK3,ENSG00000105053,ENSMUSG00000002205,Vrk3
FAM32A,ENSG00000105058,ENSMUSG00000003039,Fam32a
CCNE1,ENSG00000105173,ENSMUSG00000002068,Ccne1
TIMM50,ENSG00000105197,ENSMUSG00000003438,Timm50
DYRK1B,ENSG00000105204,ENSMUSG00000002409,Dyrk1b
PLD3,ENSG00000105223,ENSMUSG00000003363,Pld3
EBI3,ENSG00000105246,ENSMUSG00000003206,Ebi3
YJU2,ENSG00000105248,ENSMUSG00000003208,Yju2
BBC3,ENSG00000105327,ENSMUSG00000002083,Bbc3
TGFB1,ENSG00000105329,ENSMUSG00000002603,Tgfb1
MRPL4,ENSG00000105364,ENSMUSG00000003299,Mrpl4
CD79A,ENSG00000105369,ENSMUSG00000003379,Cd79a
RABAC1,ENSG00000105404,ENSMUSG00000003380,Rabac1
KDELR1,ENSG00000105438,ENSMUSG00000002778,Kdelr1
CYTH2,ENSG00000105443,ENSMUSG00000003269,Cyth2
GRIN2D,ENSG00000105464,ENSMUSG00000002771,Grin2d
GCDH,ENSG00000105607,ENSMUSG00000003809,Gcdh
DNASE2,ENSG00000105612,ENSMUSG00000003812,Dnase2a
KCNN1,ENSG00000105642,ENSMUSG00000002908,Kcnn1
ARRDC2,ENSG00000105643,ENSMUSG00000002910,Arrdc2
CRTC1,ENSG00000105662,ENSMUSG00000003575,Crtc1
ARMC6,ENSG00000105676,ENSMUSG00000002343,Armc6
GRIK5,ENSG00000105737,ENSMUSG00000003378,Grik5
SMG9,ENSG00000105771,ENSMUSG00000002210,Smg9
HBP1,ENSG00000105856,ENSMUSG00000002996,Hbp1
CRHR2,ENSG00000106113,ENSMUSG00000003476,Crhr2
PPP1R17,ENSG00000106341,ENSMUSG00000002930,Ppp1r17
IMPDH1,ENSG00000106348,ENSMUSG00000003500,Impdh1
BLVRA,ENSG00000106605,ENSMUSG00000001999,Blvra
YKT6,ENSG00000106636,ENSMUSG00000002741,Ykt6
TFAM,ENSG00000108064,ENSMUSG00000003923,Tfam
HLF,ENSG00000108924,ENSMUSG00000003949,Hlf
EFNB3,ENSG00000108947,ENSMUSG00000003934,Efnb3
MMD,ENSG00000108960,ENSMUSG00000003948,Mmd
UNC119,ENSG00000109103,ENSMUSG00000002058,Unc119
SUPT6H,ENSG00000109111,ENSMUSG00000002052,Supt6
RAB34,ENSG00000109113,ENSMUSG00000002059,Rab34
CDKN1B,ENSG00000111276,ENSMUSG00000003031,Cdkn1b
MAN1A1,ENSG00000111885,ENSMUSG00000003746,Man1a
PPARD,ENSG00000112033,ENSMUSG00000002250,Ppard
MRPL2,ENSG00000112651,ENSMUSG00000002767,Mrpl2
